time(h)	PPFD(umol/m2/s)	VPD(kPa)	T(oC)
543	0	0.375632854	24.81481481
544	0	0.233208792	24.32407407
545	0	0.159987572	24.01851852
546	0	0.107824274	23.68518519
547	0	0.069510545	23.31481481
548	0	0.038987514	23.19444444
549	0	0.022418685	23.25
550	0	0.027645537	22.94444444
551	0	0.015899847	22.92592593
552	50.5	0.21624253	22.48148148
553	332.3333333	0.472463525	24.46296296
554	790.3333333	0.862742645	26.30555556
555	1262	1.165408039	27.33333333
556	1413.666667	1.38336475	28.28703704
557	1612.833333	1.632838359	28.90740741
558	1798.166667	1.902109371	29.74074074
559	1745.833333	2.105061309	30.48148148
560	1454.833333	2.247487394	30.59259259
561	1029.833333	2.221494297	30.62037037
562	633.6666667	2.178290954	30.38888889
563	300	2.018482035	29.73148148
564	56	1.518719495	28.13888889
565	0	0.833417006	25.75925926
566	0	0.6470646	25.43518519
567	0	0.375632854	24.81481481
568	0	0.233208792	24.32407407
569	0	0.159987572	24.01851852
570	0	0.107824274	23.68518519
571	0	0.069510545	23.31481481
572	0	0.038987514	23.19444444
573	0	0.022418685	23.25
574	0	0.027645537	22.94444444
575	0	0.015899847	22.92592593
576	50.5	0.21624253	22.48148148
577	332.3333333	0.472463525	24.46296296
578	790.3333333	0.862742645	26.30555556
579	1262	1.165408039	27.33333333
580	1413.666667	1.38336475	28.28703704
581	1612.833333	1.632838359	28.90740741
582	1798.166667	1.902109371	29.74074074
583	1745.833333	2.105061309	30.48148148
584	1454.833333	2.247487394	30.59259259
585	1029.833333	2.221494297	30.62037037
586	633.6666667	2.178290954	30.38888889
587	300	2.018482035	29.73148148
588	56	1.518719495	28.13888889
589	0	0.833417006	25.75925926
590	0	0.6470646	25.43518519
591	0	0.375632854	24.81481481
592	0	0.233208792	24.32407407
593	0	0.159987572	24.01851852
594	0	0.107824274	23.68518519
595	0	0.069510545	23.31481481
596	0	0.038987514	23.19444444
597	0	0.022418685	23.25
598	0	0.027645537	22.94444444
599	0	0.015899847	22.92592593
600	50.5	0.21624253	22.48148148
601	332.3333333	0.472463525	24.46296296
602	790.3333333	0.862742645	26.30555556
603	1262	1.165408039	27.33333333
604	1413.666667	1.38336475	28.28703704
605	1612.833333	1.632838359	28.90740741
606	1798.166667	1.902109371	29.74074074
607	1745.833333	2.105061309	30.48148148
608	1454.833333	2.247487394	30.59259259
609	1029.833333	2.221494297	30.62037037
610	633.6666667	2.178290954	30.38888889
611	300	2.018482035	29.73148148
612	56	1.518719495	28.13888889
613	0	0.833417006	25.75925926
614	0	0.6470646	25.43518519
615	0	0.375632854	24.81481481
616	0	0.233208792	24.32407407
617	0	0.159987572	24.01851852
618	0	0.107824274	23.68518519
619	0	0.069510545	23.31481481
620	0	0.038987514	23.19444444
621	0	0.022418685	23.25
622	0	0.027645537	22.94444444
623	0	0.015899847	22.92592593
624	50.5	0.21624253	22.48148148
625	332.3333333	0.472463525	24.46296296
626	790.3333333	0.862742645	26.30555556
627	1262	1.165408039	27.33333333
628	1413.666667	1.38336475	28.28703704
629	1612.833333	1.632838359	28.90740741
630	1798.166667	1.902109371	29.74074074
631	1745.833333	2.105061309	30.48148148
632	1454.833333	2.247487394	30.59259259
633	1029.833333	2.221494297	30.62037037
634	633.6666667	2.178290954	30.38888889
635	300	2.018482035	29.73148148
636	56	1.518719495	28.13888889
637	0	0.833417006	25.75925926
638	0	0.6470646	25.43518519
639	0	0.375632854	24.81481481
640	0	0.233208792	24.32407407
641	0	0.159987572	24.01851852
642	0	0.107824274	23.68518519
643	0	0.069510545	23.31481481
644	0	0.038987514	23.19444444
645	0	0.022418685	23.25
646	0	0.027645537	22.94444444
647	0	0.015899847	22.92592593
648	50.5	0.21624253	22.48148148
649	332.3333333	0.472463525	24.46296296
650	790.3333333	0.862742645	26.30555556
651	1262	1.165408039	27.33333333
652	1413.666667	1.38336475	28.28703704
653	1612.833333	1.632838359	28.90740741
654	1798.166667	1.902109371	29.74074074
655	1745.833333	2.105061309	30.48148148
656	1454.833333	2.247487394	30.59259259
657	1029.833333	2.221494297	30.62037037
658	633.6666667	2.178290954	30.38888889
659	300	2.018482035	29.73148148
660	56	1.518719495	28.13888889
661	0	0.833417006	25.75925926
662	0	0.6470646	25.43518519
663	0	0.375632854	24.81481481
664	0	0.233208792	24.32407407
665	0	0.159987572	24.01851852
666	0	0.107824274	23.68518519
667	0	0.069510545	23.31481481
668	0	0.038987514	23.19444444
669	0	0.022418685	23.25
670	0	0.027645537	22.94444444
671	0	0.015899847	22.92592593
672	50.5	0.21624253	22.48148148
673	332.3333333	0.472463525	24.46296296
674	790.3333333	0.862742645	26.30555556
675	1262	1.165408039	27.33333333
676	1413.666667	1.38336475	28.28703704
677	1612.833333	1.632838359	28.90740741
678	1798.166667	1.902109371	29.74074074
679	1745.833333	2.105061309	30.48148148
680	1454.833333	2.247487394	30.59259259
681	1029.833333	2.221494297	30.62037037
682	633.6666667	2.178290954	30.38888889
683	300	2.018482035	29.73148148
684	56	1.518719495	28.13888889
685	0	0.833417006	25.75925926
686	0	0.6470646	25.43518519
687	0	0.375632854	24.81481481
688	0	0.233208792	24.32407407
689	0	0.159987572	24.01851852
690	0	0.107824274	23.68518519
691	0	0.069510545	23.31481481
692	0	0.038987514	23.19444444
693	0	0.022418685	23.25
694	0	0.027645537	22.94444444
695	0	0.015899847	22.92592593
696	50.5	0.21624253	22.48148148
697	332.3333333	0.472463525	24.46296296
698	790.3333333	0.862742645	26.30555556
699	1262	1.165408039	27.33333333
700	1413.666667	1.38336475	28.28703704
701	1612.833333	1.632838359	28.90740741
702	1798.166667	1.902109371	29.74074074
703	1745.833333	2.105061309	30.48148148
704	1454.833333	2.247487394	30.59259259
705	1029.833333	2.221494297	30.62037037
706	633.6666667	2.178290954	30.38888889
707	300	2.018482035	29.73148148
708	56	1.518719495	28.13888889
709	0	0.833417006	25.75925926
710	0	0.6470646	25.43518519
711	0	0.375632854	24.81481481
712	0	0.233208792	24.32407407
713	0	0.159987572	24.01851852
714	0	0.107824274	23.68518519
715	0	0.069510545	23.31481481
716	0	0.038987514	23.19444444
717	0	0.022418685	23.25
718	0	0.027645537	22.94444444
719	0	0.015899847	22.92592593
720	50.5	0.21624253	22.48148148
721	332.3333333	0.472463525	24.46296296
722	790.3333333	0.862742645	26.30555556
723	1262	1.165408039	27.33333333
724	1413.666667	1.38336475	28.28703704
725	1612.833333	1.632838359	28.90740741
726	1798.166667	1.902109371	29.74074074
727	1745.833333	2.105061309	30.48148148
728	1454.833333	2.247487394	30.59259259
729	1029.833333	2.221494297	30.62037037
730	633.6666667	2.178290954	30.38888889
731	300	2.018482035	29.73148148
732	56	1.518719495	28.13888889
733	0	0.833417006	25.75925926
734	0	0.6470646	25.43518519
735	0	0.375632854	24.81481481
736	0	0.233208792	24.32407407
737	0	0.159987572	24.01851852
738	0	0.107824274	23.68518519
739	0	0.069510545	23.31481481
740	0	0.038987514	23.19444444
741	0	0.022418685	23.25
742	0	0.027645537	22.94444444
743	0	0.015899847	22.92592593
744	50.5	0.21624253	22.48148148
745	332.3333333	0.472463525	24.46296296
746	790.3333333	0.862742645	26.30555556
747	1262	1.165408039	27.33333333
748	1413.666667	1.38336475	28.28703704
749	1612.833333	1.632838359	28.90740741
750	1798.166667	1.902109371	29.74074074
751	1745.833333	2.105061309	30.48148148
752	1454.833333	2.247487394	30.59259259
753	1029.833333	2.221494297	30.62037037
754	633.6666667	2.178290954	30.38888889
755	300	2.018482035	29.73148148
756	56	1.518719495	28.13888889
757	0	0.833417006	25.75925926
758	0	0.6470646	25.43518519
759	0	0.375632854	24.81481481
760	0	0.233208792	24.32407407
761	0	0.159987572	24.01851852
762	0	0.107824274	23.68518519
763	0	0.069510545	23.31481481
764	0	0.038987514	23.19444444
765	0	0.022418685	23.25
766	0	0.027645537	22.94444444
767	0	0.015899847	22.92592593
